frame.number,_ws.col.Time,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,_ws.col.Length,_ws.col.Info
57,0.906673765,10.11.12.1,10.11.12.50,TCP,66,80 → 49618 [ACK] Seq=162 Ack=923 Win=64256 Len=0 TSval=1712180534 TSecr=216535014
58,0.942528849,18.205.142.205,10.11.12.23,TLSv1.2,97,Application Data
59,0.943743481,10.11.12.23,18.205.142.205,TCP,66,43352 → 443 [ACK] Seq=34 Ack=32 Win=359 Len=0 TSval=18765659 TSecr=197278023
60,1.023440367,10.11.12.22,1.1.1.1,TCP,60,40654 → 853 [FIN, ACK] Seq=1 Ack=1 Win=502 Len=0
61,1.074523256,10.11.12.18,131.251.255.229,UDP,174,50599 → 4501 Len=132
62,1.087251927,131.251.255.229,10.11.12.18,UDP,174,4501 → 50599 Len=132
63,1.098351595,10.11.12.22,3.11.193.37,SSL,168,Continuation Data
64,1.100233487,3.11.193.37,10.11.12.22,TCP,66,443 → 48190 [ACK] Seq=1 Ack=103 Win=1266 Len=0 TSval=197278039 TSecr=3782616579
65,1.109852819,10.11.12.19,10.11.12.1,TCP,74,46788 → 80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3634705778 TSecr=0 WS=128
66,1.110024986,10.11.12.1,10.11.12.19,TCP,74,80 → 46788 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=46106020 TSecr=3634705778 WS=128
67,1.111030988,10.11.12.19,10.11.12.1,TCP,66,46788 → 80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3634705779 TSecr=46106020
